Fatty acid	Both	Carbohydrate	RNA-seq	
GFM2	RIC8B	ACACB	CMTM4	
HMGCR	CRY1	ATP2A2	ENSMFAG00000044958	
POLK	MYO1H	TMEM116	SGCB	
TBCA	ATP2A2	MED13L	ENSMFAG00000034555	
ARSB	ATXN2	TMEM120B	ENSMFAG00000031478	
SERINC5	TMEM116	KNTC1	SPAG9	
MSH3	MED13L	POLE	MGAT3	
XRCC4	SPPL3	AACS	EFNB2	
CCNH	AACS	CLASP1	HERPUD1	
TMEM161B	MAP3K2	CFAP221	MMP12	
POLR3G	EPB41L5	SCTR	CSGALNACT1	
ADGRV1	ACTR3	DDX18	PLEK	
SLF1	MGAT5	MGAT5	DCAF7	
RGMB	ACVR2A	ZRANB3	NR3C1	
MAN2A1	MBD5	R3HDM1	ST3GAL1	
COMMD10	ACVR1	SPOPL	FCER1A	
DTWD2	PSMD14	GTDC1	DERL3	
TNFAIP8	COBLL1	MBD5	TTC22	
SNX24	CSRNP3	KCNJ3	MGA	
LMNB1	GALNT3	LOC102131110	ELK4	
LOC107130062	FASTKD1	PKP4	ENSMFAG00000054645	
SLC12A2	DYNC1I2	PLA2R1	SNX13	
HSPA4	PDK1	GRB14	BTG2	
TCF7	RAPGEF4	COBLL1	ENSMFAG00000009198	
DDX46	OLA1	CSRNP3	BDKRB2	
LOC102123677	MTX2	STK39	FAM234B	
HSPA9	UBE2E3	CERS6	FLVCR1	
SIL1	TFPI	METTL8	MSMO1	
MATR3	GULP1	METAP1D	B3GALT5	
UBE2D2	GLS	PDK1	MMACHC	
HARS1	NIF3L1	RAPGEF4	ENSMFAG00000050401	
ARHGAP26	FAM126B	MAP3K20	RAPGEF5	
LARS1	BMPR2	CDCA7	ENSMFAG00000054460	
RBM27	RAPH1	OLA1	ADGRE2	
TCERG1	CCNYL1	WIPF1	ENSMFAG00000052509	
HTR4	IDH1	LNPK	OTULINL	
PPARGC1B	KANSL1L	SESTD1	SPATS2	
TCOF1	PECR	UBE2E3	PLBD2	
G3BP1	VIL1	PMS1	GSTCD	
CLINT1	SLC23A3	GLS	DENND11	
PWWP2A	SGPP2	SLC39A10	ZMAT3	
ATP10B	ACSL3	PARD3B	ENSMFAG00000060857	
GABRB2	AP1S3	CPS1	ENSMFAG00000000567	
RANBP17	CUL3	SPAG16	PHLPP2	
SH3PXD2B	AGFG1	BARD1	ETS1	
ERGIC1	PID1	FARSB	ENSMFAG00000003807	
SFXN1	TRIP12	DOCK10	ENPP6	
SIMC1	PSMD1	PID1	PLCB4	
UIMC1	NGEF	ARMC9	AGA	
NSD1	DGKD	DIS3L2	LEPR	
HNRNPAB	UGT1A8	AGAP1	SCIN	
HNRNPH1	LOC123567991	HES6	MBP	
CBY3	LOC123568093	PER2	ENSMFAG00000034093	
CANX	LOC107126975	HDAC4	ENSMFAG00000049868	
MRNIP	UBE2F	PASK	FLT3	
MAPK9	SLC9A2	D2HGDH	ENSMFAG00000033206	
HERC2	NPAS2	SLC9A2	MS4A2	
GABRG3	MGAT4A	LOC102121512	ENSMFAG00000047172	
UBE3A	INPP4A	TBC1D8	CD300A	
LOC101865633	TMEM131	INPP4A	TMEM119	
FAN1	MALL	TMEM131	ENSMFAG00000050660	
KATNBL1	TTL	LIMS1	GNAQ	
AQR	RETSAT	CCDC138	CPT1A	
CDIN1	TCF7L1	POLR1B	PER2	
MEIS2	DQX1	SLC20A1	UTRN	
IVD	EXOC6B	TCF7L1	CCNYL1	
KNL1	ANXA4	TRABD2A	RHOU	
RAD51	AAK1	ALMS1	ATP11A	
SPTBN5	SPRED2	EXOC6B	RIT1	
CDAN1	RAB1A	MPHOSPH10	ARHGAP25	
TUBGCP4	AFTPH	LOC102131904	MFSD2A	
PDIA3	UGP2	EHBP1	SEMA3D	
WDR76	CLHC1	COMMD1	SC5D	
CTDSPL2	PSME4	FANCL	CDC25A	
EIF3J	EPAS1	PNPT1	ZNF518B	
DUT	SLC3A1	PRKCE	ENSMFAG00000061194	
CEP152	ABCG8	SRBD1	ANKRD52	
MYO5C	SLC8A1	CAMKMT	CTTNBP2	
MNS1	SOS1	LRPPRC	ENSMFAG00000065039	
TCF12	ATL2	THADA	RICTOR	
CGNL1	RMDN2	HAAO	SNX27	
ICE2	XDH	SLC8A1	ENSMFAG00000060568	
VPS13C	GALNT14	SRSF7	PCYT1A	
TLN2	RBKS	MEMO1	INPP5D	
CA12	KHK	GALNT14	ENSMFAG00000063951	
PCLAF	RAB10	WDR43	CDPF1	
ZNF609	ROCK2	BABAM2	SMPD3	
HACD3	TAF1B	PPM1G	RDH11	
MAP2K1	LOC107127179	ZNF513	ENSMFAG00000061523	
ZWILCH	ID2	SDC1	ENSMFAG00000064418	
SMAD6	LOC101926269	NBAS	PLD1	
CLN6	GRAMD1B	RRM2	FPR3	
PAQR5	OAF	TAF1B	ITGAX	
MYO9A	LOC107127450	ASAP2	ENSMFAG00000026512	
PKM	LOC102143300	NCAPD3	RAP1GAP2	
ABHD17C	SIK3	OPCML	SORL1	
HOMER2	SIK2	LOC101926269	LRRC32	
FANCI	CUL5	FOXRED1	ATAD2	
TICRR	SLC35F2	CDON	MYO5C	
BLM	LOC102117275	CHEK1	MED1	
MAN2A2	LOC123568700	CADM1	REG4	
MCTP2	LOC123566798	DDX10	FANCD2	
IGF1R	ARHGAP42	LOC102117275	STAB1	
LRRK1	SESN3	LOC123568700	ENSMFAG00000001222	
CHSY1	TMEM135	LOC123566798	ANGPTL4	
PCSK6	PICALM	LOC102139033	ENC1	
HNRNPC	DLG2	ARHGAP42	BPNT2	
SUPT16H	PAK1	CEP295	VPS53	
HAUS4	ACER3	TMEM135	TP53INP2	
STXBP6	LOC123568723	ME3	EPB41L5	
PRKD1	MOGAT2	DLG2	ENSMFAG00000037771	
NUBPL	RAB6A	TENM4	PLPP3	
SPTSSA	RNF121	GAB2	ENSMFAG00000045934	
PRORP	STIM1	KCNE3	TRIM16	
MIPOL1	LOC102142127	FAM168A	ENSMFAG00000052233	
PNN	MICAL2	FCHSD2	IBTK	
MIS18BP1	SOX6	SBF2	IGLV6-57	
POLE2	DEPDC7	PARVA	ENSMFAG00000037950	
MAP4K5	HIPK3	PDE3B	SLA	
NIN	ABTB2	SOX6	ENSMFAG00000035974	
STYX	PDHX	NUCB2	HACD2	
WDHD1	HSD17B12	NAV2	ENSMFAG00000057630	
FBXO34	AMBRA1	METTL15	POLR3B	
PCNX4	CTNND1	ELP4	ENSMFAG00000024766	
HIF1A	PPP2R5B	CD44	ENSMFAG00000047539	
PPP2R5E	NAALADL1	HSD17B12	GNE	
WDR89	CAPN1	LRP4	TMEM129	
SYNE2	MUS81	DDB2	TRIM33	
MTHFD1	PC	FAM111B	ENSMFAG00000053954	
PLEKHG3	CHKA	MYRF	ENSMFAG00000054387	
GPHN	CDHR5	LOC101865759	CHD2	
PLEK2	PTDSS2	NAALADL1	TFEC	
RAD51B	NLRP6	LOC102137002	PDILT	
ACTN1	LOC123569063	CHKA	THEM6	
MAP3K9	SLC35D2	SHANK2	ENSMFAG00000000196	
SIPA1L1	NAA35	KCNQ1	NACC1	
RGS6	LOC102136791	PTDSS2	ENSMFAG00000057211	
DPF3	GCNT1	ANO9	ENSMFAG00000049291	
RBM25	PCSK5	SIGIRR	SH2B3	
LIN52	LOC123569106	PGGHG	ENSMFAG00000059012	
TTLL5	TRPM6	AOPEP	NLRP1	
CEP128	LOC123569110	FANCC	WDR7	
FOXN3	ALDH1A1	LOC102127805	PAICS	
EFCAB11	GDA	IARS1	CMKLR1	
TC2N	RFX3	TLE1	ICE2	
UBR7	PTPRD	PCSK5	ENSMFAG00000052772	
PAPOLA	LOC123569041	LOC123569110	HEPACAM2	
VRK1	NFIB	PIP5K1B	SH3RF1	
BCL11B	LOC102135474	KANK1	STEAP2	
SETD3	CDKN2B	PUM3	P2RY10	
HSP90AA1	LRRC19	RFX3	KAT6A	
TRAF3	MOB3B	UHRF2	FBXO27	
XRCC3	LOC102116435	KDM4C	PRKD3	
PPP1R13B	B4GALT1	PTPRD	LRRC17	
MTA1	UBE2R2	LOC123569041	EPM2AIP1	
KBTBD11	CORO2A	NFIB	TNS3	
AGPAT5	TGFBR1	CCDC171	CYP11B2	
FDFT1	ERP44	CNTLN	ENSMFAG00000057593	
PINX1	ALDOB	FOCAD	PPM1H	
ERI1	EPB41L4B	LOC102135474	ENSMFAG00000037876	
MFHAS1	LOC102123447	MOB3B	GAS2L3	
SLC7A2	LOC102121945	ACO1	POLA1	
PSD3	UGCG	NOL6	WIPF2	
ESCO2	PTBP3	UNC13B	ENSMFAG00000048655	
ZNF395	SLC31A1	RUSC2	ENSMFAG00000030741	
WRN	C5	CA9	SLC30A7	
FUT10	RAB14	ZCCHC7	RCSD1	
TACC1	LOC123569022	GALNT12	PANK1	
GINS4	FPGS	FSD1L	ANKRD50	
KAT6A	PHYHD1	PTPN3	ENSMFAG00000050001	
SLC20A2	MIGA2	KIAA1958	CBS	
SPIDR	ACOX1	ZNF618	IPP	
PRKDC	MAP2K6	C5	PKLR	
MCM4	DDX5	RABGAP1	PNO1	
TGS1	ERN1	LOC123569022	ABAT	
LYN	GOSR2	DENND1A	HSPH1	
TOX	MAP3K14	NR6A1	TBC1D16	
CHD7	G6PC1	GARNL3	ENSMFAG00000050822	
ASPH	RAPGEFL1	DYNC2I2	GIMAP4	
CSPP1	LOC101865393	PHYHD1	FKBP5	
NCOA2	SPAG9	POMT1	UBXN2B	
TERF1	STXBP4	DDX31	ENSMFAG00000043427	
TPD52	GDPD1	EHMT1	ENSMFAG00000054845	
NBN	VMP1	DPP7	GALNT6	
RAD54B	MED13	NPDC1	NT5E	
ESRP1	USP32	ABCA2	ENSMFAG00000032467	
INTS8	ACACA	CCDC57	APLNR	
CCNE2	C16H17orf78	FASN	KLHL2	
LOC102137935	NF1	CENPX	CALCRL	
NDUFAF6	NLK	SLC25A10	BMPR2	
SDC2	MYO18A	RPTOR	ENSMFAG00000053476	
MTDH	SLC6A4	LOC123569464	AXIN2	
POP1	KSR1	FBF1	RAPGEF6	
STK3	LOC102142918	TSEN54	SLC17A4	
PABPC1	LOC102132338	HID1	CAPN2	
GRHL2	MAP2K4	SLC39A11	ATP6V0D2	
RIMS2	UBE2G1	LOC107127852	TBC1D8	
EIF3E	PAFAH1B1	PRKCA	OSTM1	
NUDCD1	SLC43A2	DDX5	LRP6	
SYBU	IFT88	BRCA1	BGN	
EIF3H	ZMYM2	KAT2A	HLA-DRA	
DEPTOR	CDK8	KPNB1	GRB10	
LOC102126203	USP12	OSBPL7	MEX3C	
ATAD2	UBL3	CBX1	RASGRP3	
SQLE	HSPH1	STXBP4	BAAT	
NSMCE2	NBEA	CUEDC1	ESM1	
LOC107130694	COG6	RNF43	TMEM50B	
ASAP1	FOXO1	TRIM37	RPF2	
KHDRBS3	ELF1	BRIP1	CCDC6	
TRAPPC9	EPSTI1	USP32	ENSMFAG00000003558	
AGO2	TSC22D1	ACACA	OLFML1	
TONSL	INTS6	TADA2A	GSDME	
RECQL4	NDFIP2	MYO1D	FBXO45	
ARHGAP39	DNAJC3	ATAD5	PDIA4	
ZMYND11	SLC15A1	SUZ12	FBXL14	
LARP4B	EFNB2	FAM222B	PTGES	
GTPBP4	ZNF516	COPS3	CA2	
PITRM1	ZNF407	STX8	CCK	
AKR1C1	CNDP2	CHD3	DENND4A	
TASOR2	LOC102134776	NEURL4	SELPLG	
RBM17	ZCCHC2	UBE2G1	FZD1	
TAF3	RELCH	CLUH	ERCC4	
CELF2	NEDD4L	RTN4RL1	CELF2	
NUDT5	WDR7	XPO4	PRDM4	
CAMK1D	ME2	IFT88	ECT2	
MCM10	PSTPIP2	ZMYM2	PTPRD	
SUV39H2	FHOD3	PSPC1	OAF	
FAM171A1	MOCOS	LOC101865693	ENSMFAG00000050305	
RSU1	GALNT1	SLC7A1	ENSMFAG00000037750	
PRTFDC1	TRAPPC8	HSPH1	CLEC9A	
ANKRD26	B4GALT6	BRCA2	PHACTR4	
MPP7	ESCO1	STARD13	SSH1	
WAC	LPIN2	RFC3	ENSMFAG00000065213	
LOC101867197	EPB41L3	NBEA	ATF7	
ZNF438	PPP4R1	FOXO1	HPSE2	
KIF5B	VAPA	VWA8	RGS6	
NRP1	LOC102130956	TSC22D1	PTPN1	
PARD3	GNA11	LRCH1	MINDY4	
CCNY	ARHGEF18	LOC107127956	SERPINB9	
LOC102133878	LDLR	DIAPH3	CLSPN	
LOC102143204	LOC102128527	DACH1	PIK3R5	
PRXL2A	CYP4F12	LOC123569885	ENSMFAG00000060501	
ADK	LOC102132489	TBC1D4	NTN1	
USP54	CYP4F2	LOC123569741	ENSMFAG00000043870	
P4HA1	CYP4F11	RBM26	EEF2K	
LRRC20	TM6SF2	ABCC4	MYO1H	
TYSND1	LOC102137713	CLYBL	CCL19	
DDX21	SLC7A9	PCCA	MAP3K20	
DNA2	PEPD	ARGLU1	TRIM50	
HNRNPH3	LSM14A	TUBGCP3	ESRRG	
CTNNA3	ZNF567	TFDP1	MMRN1	
RTKN2	LOC102139857	RBFA	TMEM176A	
ARID5B	SULT2B1	ATP9B	ITGA8	
PHYHIPL	DHDH	ZNF407	PRKCA	
PRKG1	BAX	RTTN	CPNE6	
MINPP1	PPFIA3	BCL2	BTBD9	
ATAD1	TRPM4	ZCCHC2	TFPI	
PTEN	MYH14	TNFRSF11A	KCNA3	
LOC101867398	LOC102116121	LOC102142174	NFIB	
LOC123566832	ABAT	CCBE1	FCRL1	
PANK1	C20H16orf72	NEDD4L	ARNTL2	
KIF20B	SNX29	ATP8B1	CCNT1	
BTAF1	ABCC6	ONECUT2	CPEB2	
IDE	ACSM5	DYM	CDK12	
KIF11	DCUN1D3	ZBTB7C	ZYG11A	
PLCE1	LOC101926364	PIAS2	ENSMFAG00000055115	
NOC3L	TENT4B	LOC102133752	ENSMFAG00000057758	
HELLS	LOC102127617	KIAA1328	ENSMFAG00000030667	
CYP2C19	KIFC3	FHOD3	TSPAN33	
MMS19	CNOT1	GALNT1	SOX9	
GOT1	TANGO6	B4GALT6	HHIP	
SCD	LOC102119972	SMCHD1	PDGFRA	
SLF2	PKD1L3	EPB41L3	TADA2B	
PPRC1	PHLPP2	L3MBTL4	SULF1	
NOLC1	GLG1	LAMA1	SPOPL	
SFXN2	FA2H	CEP192	SLC23A2	
PCGF6	MAF	LDLRAD4	ACAP2	
PDCD11	CMC2	SHC2	PILRA	
SMC3	ZCCHC14	TMEM259	CDCA7	
NHLRC2	MVD	PWWP3A	TLR10	
SHTN1	DPEP1	KLF16	IQSEC1	
EIF3A	ACE2	LOC102117492	ENSMFAG00000002315	
SFXN4	SMS	CHAF1A	TMPPE	
LOC102138082	PHEX	UHRF1	LUM	
DMBT1	SAT1	DNMT1	FAM174B	
OAT	PDK3	ILF3	BTLA	
CTBP2	GK	SAMD1	KLF9	
DOCK1	OTC	LOC123570344	RELN	
PTPRE	MAOB	GDF15	AHR	
MKI67	MAGED1	SSBP4	CEP350	
MGMT	ATP7A	SUGP2	WNT9A	
NINL	TMEM164	LOC102129680	LAMC3	
GINS1	MTM1	LOC102116354	ENSMFAG00000052988	
XRN2	NSDHL	URI1	CD84	
DTD1	LOC101865018	LIG1	ENSMFAG00000056728	
SNX5		BAX	TGFBI	
ESF1		SNRNP70	ENSMFAG00000031415	
TASP1		TRPM4	ENSMFAG00000061553	
BTBD3		LENG8	PARP8	
JAG1		LENG9	LGR5	
LOC102131744		ZNF776	ENSMFAG00000047614	
PLCB4		ZNF446	PREPL	
FERMT1		RHOT2	AGBL2	
CRLS1		JMJD8	STAB2	
MCM8		NME3	VHL	
PCNA		EME2	ENSMFAG00000053160	
DNAAF9		LOC102115347	GALNT5	
LZTS3		E4F1	WNT4	
PTPRA		SRRM2	SLC38A1	
IDH3B		ADCY9	MED13	
NOP56		MRTFB	BMP7	
ASXL1		USP31	SETD7	
CBFA2T2		SH2B1	H6PD	
E2F1		MAZ	PEAK1	
EIF2S2		FUS	GPRIN3	
PIGU		TOX3	TASL	
ACSS2		FTO	ENSMFAG00000053444	
PHF20		FHOD1	ENSMFAG00000034637	
EPB41L1		HSD11B2	ENSMFAG00000058195	
RBL1		TANGO6	OXNAD1	
LOC102142828		LOC102119972	MYH3	
TTI1		ZFHX3	GATA2	
LOC102125194		PMFBP1	GPR63	
DHX35		PKD1L3	SOX30	
MYBL2		CNTNAP4	ENSMFAG00000023144	
ADA		WWOX	AKAP11	
CSE1L		CMC2	CRACR2A	
NELFCD		ATP2C2	RAB3D	
SS18L1		MVD	ZEB2	
NCAPH2		CDT1	ADAMTS15	
TRABD		CDK10	GRM2	
CRELD2		ZNF276	CD200R1	
TRMU		LOC107128397	GOLGA3	
ATXN10		DHRSX	EDARADD	
TCF20		LOC102130612	NDUFS1	
SGSM3		MID1	RNF144A	
RBFOX2		NHS	ENSMFAG00000050825	
LARGE1		SCML2	ENSMFAG00000031222	
DEPDC5		POLA1	VASH1	
LIMK2		TSPAN7	ATXN1L	
NF2		CASK	BLK	
ZNRF3		MAGED1	CD79B	
CHEK2		LOC102134049	ENSMFAG00000043220	
PITPNB		MTMR8	ZNF281	
GSTT2B		OPHN1	RAB11FIP2	
CABIN1		EDA	ENSMFAG00000040177	
SDF2L1		PHKA1	CAPZA2	
TRMT2A		CHIC1	CHAC2	
DGCR8		LOC102139757	TMED6	
CDC45		DIAPH2	SELE	
LOC102123623		LOC102135180	ZNF845	
HDHD5		MBNL3	SLC41A3	
CCDC77		TAFAZZIN	SLAMF9	
ERC1		LOC123571588	ENSMFAG00000053403	
CCND2		LOC102143612	ITGA2	
C11H12orf4			TNFSF13B	
RAD51AP1			TCAF1	
ATN1			ENSMFAG00000035623	
YBX3			CD93	
DDX11			CKAP2L	
EPS8			DGKE	
MGST1			ENSMFAG00000042516	
PLEKHA5			NR1D2	
AEBP2			BTBD3	
PDE3A			TCIM	
LDHB			LRRN1	
TM7SF3			ENSMFAG00000048419	
STK38L			CSF3R	
ARNTL2			SLITRK6	
MRPS35			ENSMFAG00000063272	
FAR2			RASGRP4	
BICD1			POSTN	
FGD4			ENSMFAG00000044246	
PKP2			MYO5A	
SYT10			CEP68	
KIF21A			PRSS57	
SLC2A13			HAPLN1	
GXYLT1			ENSMFAG00000042520	
PUS7L			GHR	
ARID2			FER1L6	
SLC38A1			PCSK9	
KANSL2			GULP1	
ADCY6			AMER1	
CACNB3			ASAP2	
SPATS2			SEMA6B	
LARP4			SLC15A3	
SLC11A2			ZNF367	
EIF4B			HLA-DOB	
CBX5			ACVR1C	
PA2G4			KNOP1	
NABP2			ELMO1	
TIMELESS			ENSMFAG00000054434	
PTGES3			SLCO2A1	
PRIM1			SCARB1	
LRP1			BLOC1S6	
R3HDM2			GPR137B	
PPM1H			HAT1	
SRGAP1			ASAP1	
XPOT			CD300LG	
LEMD3			PPARGC1B	
GRIP1			EDAR	
LOC102125344			DAB1	
NUP107			UGDH	
CPSF6			GDA	
CCT2			ADGRG6	
CNOT2			ENSMFAG00000056377	
NAP1L1			HACD4	
E2F7			MID2	
PAWR			ALOX5AP	
KITLG			RAB44	
UBE2N			CNOT6	
CEP83			PTPRB	
TMPO			TET2	
UTP20			ENSMFAG00000033009	
LOC102127106			CBL	
NT5DC3			ENSMFAG00000000419	
TXNRD1			ACP5	
POLR3B			ACVR1B	
SSH1			F13A1	
ACACB			ENSMFAG00000050759	
ATP2A2			ENSMFAG00000032127	
TMEM116			FOXRED2	
NAA25			HCN3	
FBXW8			HLCS	
MLEC			ALMS1	
TMEM120B			SLC30A4	
BCL7A			ENSMFAG00000050316	
LOC102135300			MYCL	
KNTC1			TRIP11	
ARL6IP4			SLC17A9	
EIF2B1			SUCO	
LOC102144651			DAAM1	
POLE			LDLRAD3	
AACS			SLC6A5	
LOC123567872			NFIA	
UGGT1			CYP7B1	
ERCC3			PHLDA1	
CLASP1			ENSMFAG00000042179	
PTPN4			MTF1	
CFAP221			FETUB	
SCTR			ZHX2	
ZRANB3			ATP6V0A2	
R3HDM1			RUBCNL	
MCM6			SHISA3	
SPOPL			F2R	
GTDC1			ENSMFAG00000008308	
RIF1			PASK	
PRPF40A			SCN4A	
KCNJ3			H2AC20	
ACVR1C			TRIM72	
PKP4			TRDC	
TANC1			TRIM2	
PSMD14			PTPRG	
GRB14			ENSMFAG00000058859	
COBLL1			KCNK13	
CSRNP3			ENSMFAG00000047946	
GALNT3			ENSMFAG00000022580	
STK39			PLCB1	
CERS6			EVI5	
SPC25			AVP	
SSB			ENSMFAG00000023368	
TLK1			CCR7	
METTL8			UPK3A	
SLC25A12			ITLN1	
HAT1			ZNF12	
METAP1D			ENSMFAG00000003294	
PDK1			KLHL8	
MAP3K20			SLCO1B3	
CDCA7			NTF3	
OLA1			FEM1A	
WIPF1			LCOR	
LNPK			FAM117B	
MTX2			C5AR2	
HNRNPA3			FOXO1	
AGPS			RNF144B	
SESTD1			PIK3R1	
UBE2E3			ADGRF5	
ITGA4			ENSMFAG00000000230	
DNAJC10			ENSMFAG00000061382	
NCKAP1			UNC80	
ANKAR			ABHD5	
PMS1			SASH1	
HIBCH			INTS7	
NAB1			SH3PXD2B	
GLS			ABLIM1	
SLC39A10			UGT8	
CCDC150			SEC23B	
PGAP1			EDNRA	
HSPD1			MCM10	
NOP58			IGSF6	
WDR12			PCOLCE2	
FASTKD2			DHCR7	
BARD1			L3MBTL4	
XRCC5			PLAU	
USP37			ATP8A2	
CNOT9			ENSMFAG00000060813	
FARSB			CLEC6A	
ACSL3			WEE1	
CUL3			ENSMFAG00000065357	
DOCK10			SYT13	
RHBDD1			CYB5RL	
PID1			SLC36A1	
PSMD1			APOLD1	
NCL			SYTL4	
PTMA			BMP4	
SH3BP4			TMX4	
AGAP1			ZNF507	
PER2			BRIP1	
TRAF3IP1			PDCD1LG2	
HDAC4			GASK1B	
PASK			RASSF5	
FARP2			ENSMFAG00000065020	
UXS1			ACVRL1	
MAP4K4			KNTC1	
TBC1D8			GIPR	
REV1			STYX	
EIF5B			MAL2	
NCAPH			FIGNL1	
STARD7			MSR1	
MRPS5			ENSMFAG00000060466	
LIMS1			BCDIN3D	
CCDC138			NUDCD1	
ANAPC1			FUT1	
POLR1B			ZBTB6	
IMMT			ENSMFAG00000003779	
MAT2A			LAMC2	
TCF7L1			P2RY12	
TRABD2A			FGFBP1	
RTKN			DOCK10	
ALMS1			YOD1	
MPHOSPH10			ENSMFAG00000057257	
SLC1A4			DIAPH3	
EHBP1			CX3CR1	
XPO1			TIGD2	
SANBR			DOCK2	
BCL11A			HEG1	
FANCL			ENSMFAG00000038011	
PNPT1			CDH20	
RTN4			ENSMFAG00000050492	
MSH6			DRD1	
MSH2			GTF3C4	
TTC7A			PDE8B	
SRBD1			PARPBP	
CAMKMT			ENSMFAG00000034394	
LRPPRC			MIGA1	
THADA			KLHL42	
HAAO			CNEP1R1	
EML4			SLC38A7	
SLC8A1			NRIP1	
SRSF7			RAB30	
PRKD3			SLC5A1	
CEBPZ			ENSMFAG00000054729	
STRN			SERINC5	
CRIM1			ENSMFAG00000060628	
TTC27			SUV39H2	
MEMO1			PUS7	
GALNT14			TRAPPC6B	
WDR43			CSF1	
PPM1G			KIF2A	
DNMT3A			TLR1	
PUM2			CRLF3	
GEN1			CERT1	
SMC6			ENSMFAG00000041908	
LOC101865434			CENPI	
NOL10			ENSMFAG00000054082	
RRM2			SEMA5A	
YWHAQ			CBX5	
ASAP2			JRK	
NCAPD3			MMS22L	
OPCML			CSF2RB	
FOXRED1			ZNF736	
RPUSD4			PPAT	
CDON			RASA2	
CHEK1			CFP	
STT3A			TNFRSF11A	
CCDC15			NTS	
HYOU1			WDR76	
CADM1			GCLM	
ZW10			PLAT	
SIK2			SVOPL	
ZC3H12C			ENSMFAG00000051980	
DDX10			SAMD9	
POGLUT3			ASIC5	
SLC35F2			ENSMFAG00000047293	
LOC102117275			XPO4	
LOC123568700			COL6A6	
LOC123566798			PDE3B	
DCUN1D5			GRPEL2	
TMEM123			RALGPS2	
MRE11			AKR1C8	
TAF1D			PDE5A	
CEP295			SLC18A2	
CHORDC1			SMCR8	
TMEM135			DAPP1	
ME3			ZNF550	
DLG2			SPON1	
TENM4			GPR141	
NARS2			ENSMFAG00000003180	
GAB2			ASPM	
PAK1			HS2ST1	
POLD3			ENSMFAG00000048597	
KCNE3			DTWD2	
PPME1			CALHM6	
C2CD3			HS3ST3A1	
FAM168A			MYO9A	
FCHSD2			ICAM1	
XNDC1N			MCTP1	
RRM1			KBTBD8	
DENND5A			SGK3	
IPO7			CYSLTR2	
WEE1			OTUD3	
SBF2			ENSMFAG00000016940	
PARVA			TM4SF18	
TEAD1			GAB1	
PDE3B			GCSAML	
NUCB2			ENSMFAG00000056709	
ZDHHC13			TOGARAM1	
E2F8			SETDB2	
NAV2			WNT5A	
LGR4			RIPOR3	
IMMP1L			TRPV4	
QSER1			INSC	
CSTF3			SLC47A1	
CAPRIN1			HTR7	
NAT10			ENSMFAG00000052925	
PDHX			ENSMFAG00000044522	
LDLRAD3			SERTAD2	
HSD17B12			FZD6	
DDB2			IL1RL1	
FNBP4			ERMAP	
NUP160			ENSMFAG00000065820	
LOC107127264			PHC3	
FAM111B			PAIP2B	
LOC101865759			ESYT2	
MACROD1			VGLL4	
STIP1			CSRP2	
POLA2			ENSMFAG00000054847	
PACS1			THUMPD1	
CHKA			IGSF10	
PPFIA1			CCR2	
DHCR7			SOX7	
ZNF195			ZFHX3	
KCNQ1			VPREB1	
CHID1			CLCN4	
ANO9			EDIL3	
AOPEP			TVP23A	
FANCC			BPIFC	
MFSD14B			TOR1AIP1	
FAM120A			EIF4EBP2	
WNK2			ENSMFAG00000060717	
IPPK			SUSD1	
LOC102127805			LPGAT1	
OGN			GCKR	
IARS1			CLEC17A	
SPIN1			GRIP1	
GOLM1			TP53I3	
NAA35			HHAT	
AGTPBP1			ANGPTL5	
RASEF			ESCO2	
TLE1			RFTN1	
CEP78			KMO	
GNAQ			MBNL3	
CARNMT1			EPHX3	
ALDH1A1			CC2D2B	
SMC5			TAB3	
PTAR1			GALNT8	
FXN			EIF5A2	
KANK1			PVALB	
SMARCA2			TDO2	
PUM3			FAM199X	
RFX3			CHST11	
UHRF2			ENSMFAG00000053844	
PTPRD			ENSMFAG00000035911	
NFIB			CTSE	
ZDHHC21			GJA4	
SNAPC3			ENSMFAG00000003599	
PSIP1			RAB7B	
CCDC171			CYSLTR1	
CNTLN			SH3RF3	
FOCAD			ENSMFAG00000041060	
LOC102138671			ZNF395	
LOC102135474			ENSMFAG00000052376	
MOB3B			DNAJB14	
LOC102116435			ENSMFAG00000008727	
ACO1			LRRC25	
UBE2R2			LTB	
UBAP2			SP140	
KIF24			FNIP2	
RUSC2			ENSMFAG00000062428	
CA9			PLIN2	
RNF38			KYAT3	
MELK			LARGE2	
ZCCHC7			SERPINF1	
ANP32B			ENSMFAG00000052539	
GALNT12			ENSMFAG00000057497	
SMC2			BARD1	
SLC44A1			ENSMFAG00000051746	
FKTN			ENSMFAG00000055905	
TMEM38B			PRKG1	
HSDL2			ENSMFAG00000031372	
KIAA1958			GARRE1	
CDK5RAP2			PPARA	
MEGF9			MAST4	
C5			CXCL12	
MRRF			KL	
LOC102115804			ENSMFAG00000053336	
LOC123569022			DNAJC18	
SCAI			HHLA2	
MAPKAP1			ZNF426	
PBX3			ENPP3	
GARNL3			P4HA1	
DYNC2I2			SPTB	
PHYHD1			SSTR1	
NUP188			ARFGEF3	
ABL1			IL10RA	
NUP214			FAM135B	
MED27			SH3BGRL2	
SETX			CREB3L2	
DDX31			COX18	
EHMT1			FGD4	
DPP7			RENBP	
NPDC1			ZKSCAN1	
ABCA2			CEBPE	
RABL6			ENSMFAG00000041485	
NOTCH1			USP31	
CAMSAP1			ADAM28	
